1968,3.925816,16.708043,-8.560942,33.014157,41.729268,20.479122,-26.731358,-6.867612,-46.912228,-0.334413,5.547265,-8.116027,1.00E+20,1.00E+20,1.00E+20
1969,4.14313,17.178331,-8.309498,33.90017,42.873264,19.668269,-27.557324,-7.924805,-48.224473,-0.228403,5.171047,-7.221614,1.00E+20,1.00E+20,1.00E+20
1970,4.313485,17.404335,-8.462888,34.586039,43.331979,19.368126,-28.455417,-7.939535,-49.531459,0.093001,5.987879,-7.156737,1.00E+20,1.00E+20,1.00E+20
1971,4.323528,17.915933,-8.683777,35.428976,44.595335,20.980218,-29.157046,-8.450963,-50.853935,0.183856,6.002929,-7.727941,-5.767243,5.45424,-16.988725
1972,4.390701,18.403767,-8.865366,36.3482,45.872263,21.707841,-29.80821,-8.383166,-51.901229,0.232889,5.758588,-7.653736,-4.461905,6.628585,-15.552395
1973,4.633852,18.929774,-8.758768,37.237741,46.248698,22.181883,-30.606926,-7.532269,-53.126583,0.357826,6.419721,-6.871959,-5.252509,6.564326,-17.069345
1974,4.832069,19.612075,-8.896503,38.184828,46.643927,23.526187,-31.305542,-7.427945,-53.366103,0.474805,5.711505,-8.142158,-3.69017,8.717848,-16.098188
1975,4.379764,19.367073,-9.456971,39.016296,47.572225,24.18958,-31.920506,-7.838149,-54.849253,-0.229797,5.410126,-9.886532,-4.029313,8.856717,-16.915342
1976,4.432607,19.772382,-9.539899,39.602983,48.625112,23.327607,-32.619639,-7.459501,-56.189329,-0.42742,5.713836,-9.82638,-1.454291,11.620557,-14.52914
1977,4.827621,19.791041,-9.787587,40.7151,50.436279,24.401472,-33.341623,-7.659394,-56.730666,-0.130763,6.516347,-8.223364,-1.567571,11.004352,-14.139493
1978,5.554916,21.107435,-9.392433,41.908477,51.550108,25.085849,-34.085014,-6.669226,-58.145239,0.174186,6.198799,-8.809668,0.043479,11.593536,-11.506578
1979,6.19432,22.059103,-9.143542,42.985583,53.10089,25.948202,-34.955067,-8.052871,-59.657856,0.416292,7.090177,-8.586106,1.403495,12.630017,-9.823026
1980,6.71424,22.764079,-8.993342,44.073271,55.474098,25.211674,-35.82941,-9.426965,-60.261791,0.595726,7.804735,-7.829465,3.422599,14.645626,-7.800428
1981,7.134859,23.900746,-9.011988,45.509769,56.105894,28.811025,-36.442592,-8.935585,-61.659027,0.487585,7.616244,-7.238943,4.169196,16.040959,-7.702567
1982,7.470863,24.555575,-8.860469,46.917953,57.630872,28.422536,-37.111428,-11.244292,-63.128726,0.233036,6.963461,-7.767952,2.465457,14.059716,-9.128802
1983,7.068995,24.654663,-9.544177,47.997826,58.944884,28.747511,-37.669092,-10.9265,-63.694602,-0.566831,6.948348,-8.827888,1.150022,12.243982,-9.943938
1984,7.067818,24.940552,-9.571424,48.787439,59.580681,28.036268,-38.331836,-10.61997,-64.591358,-0.870768,6.196791,-9.392457,0.821246,11.708543,-10.066051
1985,7.550317,25.024591,-8.995613,50.152421,60.644554,28.900891,-39.067096,-11.658679,-66.838762,-0.740146,7.261971,-9.569466,2.388556,12.884459,-8.107347
1986,7.975483,25.593537,-8.849562,51.677412,62.108691,34.387461,-39.839964,-12.09011,-67.190078,-0.908121,7.644204,-10.599015,3.517682,13.424417,-6.389054
1987,8.532252,26.862952,-8.322446,53.017975,63.879903,33.010925,-40.399661,-10.749769,-67.563832,-0.777774,7.804655,-10.036632,6.474294,16.013789,-3.065201
1988,9.289586,28.018009,-7.75972,54.446376,65.596743,33.682736,-40.977899,-12.257267,-69.550915,-0.476053,7.439378,-10.324906,8.19489,17.83556,-1.44578
1989,10.221665,29.185094,-6.714738,55.756403,66.231029,35.429178,-41.754524,-13.803038,-71.557962,-0.393772,6.91132,-10.86977,9.985848,19.206823,0.764873
1990,11.166579,30.550273,-5.246326,57.093538,67.980682,34.305546,-42.653964,-12.630049,-72.816276,-0.13943,7.131534,-11.198262,10.13799,18.501404,1.774576
1991,11.638581,31.715778,-5.269933,58.725882,69.978145,36.883923,-43.104524,-13.394367,-73.160859,-0.058938,6.972762,-10.725462,8.884619,16.060495,1.708743
1992,9.357167,29.738881,-8.724737,60.44519,71.642714,39.368667,-43.833382,-14.96187,-73.224591,-2.635026,4.66267,-11.609944,8.859403,15.095815,2.622992
1993,8.63784,28.83129,-10.014123,62.005474,73.251105,39.690725,-44.736299,-16.05734,-73.992771,-3.918374,4.051873,-13.687558,9.04794,14.883598,3.212282
1994,9.4097,29.695443,-9.002142,63.302414,74.737388,39.96999,-45.371441,-16.93465,-74.699177,-3.884119,4.13464,-14.919179,9.779517,15.675788,3.883246
1995,10.874383,31.38813,-7.020017,64.855919,76.889544,43.338343,-45.696678,-17.924937,-75.438643,-3.585902,3.790812,-14.33742,11.467979,17.649363,5.286594
1996,12.122307,32.981447,-5.601251,66.34482,78.739065,44.026055,-46.484797,-18.00309,-76.367299,-3.193914,4.481695,-12.969385,12.746445,19.12838,6.364511
1997,13.338818,34.615725,-4.061844,67.641682,80.238478,44.474933,-47.211358,-18.214457,-77.109334,-2.70824,4.84568,-13.557885,12.627006,18.784836,6.469176
1998,14.584575,36.559579,-2.48653,69.3295,82.127636,46.344412,-47.852172,-18.086881,-77.796349,-2.479264,4.903372,-13.045153,11.587691,17.830675,5.344706
1999,16.025928,38.120978,-1.772801,71.115137,83.777791,48.971919,-48.264546,-17.06925,-78.934025,-2.206889,4.513046,-11.661281,11.896675,18.896412,4.896938
2000,17.511383,39.851128,-0.538465,72.596727,85.531015,47.361341,-48.664059,-17.898374,-79.719509,-1.9843,4.732899,-11.092422,13.252896,22.489287,4.016505
2001,18.859288,41.297058,1.057774,74.208424,87.538226,48.975951,-49.300818,-20.058176,-79.831012,-1.758517,4.692021,-11.373546,16.712136,26.207447,7.216825
2002,20.051586,42.873505,2.226727,75.772373,89.714957,50.427752,-50.026747,-21.183137,-81.023645,-1.625675,5.49381,-12.070583,18.924447,28.011718,9.837175
2003,21.148393,44.861667,3.454441,77.439243,91.290366,49.765913,-50.5575,-20.563096,-81.843002,-1.349208,5.440399,-11.827925,22.293668,28.917905,15.669431
2004,22.461803,46.258334,5.453336,79.107113,93.20719,51.563592,-51.02039,-21.468451,-81.770777,-1.141589,6.443232,-12.033848,23.007756,29.150875,16.864636
2005,23.514699,47.283074,6.904786,80.351928,94.854965,52.835703,-51.438905,-20.331173,-82.182235,-1.167379,6.286848,-12.320893,24.312246,30.237789,18.386702
2006,24.524529,48.931507,7.159382,81.889359,96.969009,54.805034,-52.074554,-21.170633,-82.308023,-0.86208,6.463617,-11.982101,25.015908,30.948166,19.08365
2007,25.392799,50.174658,7.961044,83.193189,98.591937,55.277554,-52.390825,-22.647252,-82.622865,-0.589907,6.589337,-10.692607,26.691241,32.611981,20.770501
2008,26.529561,51.698911,9.012377,84.819358,100.63851,55.82241,-52.749068,-24.225202,-83.03996,-0.637828,6.897611,-11.135437,28.212941,34.187154,22.238728
2009,27.598472,53.361016,9.733942,86.809859,102.801388,59.613157,-53.194294,-22.64911,-83.890133,-0.853805,6.96009,-11.822096,29.472687,35.401993,23.543381
2010,28.94923,55.265826,10.780301,88.640851,104.794193,61.206865,-53.741351,-22.134639,-84.723279,-0.851253,6.534083,-11.52707,30.319053,36.293015,24.345092
2011,30.336461,57.204746,12.115488,90.355596,106.956298,60.123705,-54.150886,-22.879582,-85.218099,-1.040901,6.282817,-11.850787,31.340926,37.43817,25.243683
2012,31.790711,59.195529,13.573704,92.171338,109.036277,60.672705,-54.328493,-22.29238,-85.067665,-0.844779,6.469494,-11.519649,33.13509,39.423012,26.847169
2013,33.383978,61.222755,15.313939,94.075731,110.841848,63.666049,-54.676946,-20.797134,-84.965159,-0.489116,5.751789,-10.592364,34.64812,40.973067,28.323172
2014,35.063981,63.050051,17.041133,95.854598,112.681616,66.132001,-55.12671,-21.47678,-84.914866,-0.400725,5.927439,-10.785493,36.397975,42.774699,30.02125
2015,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,37.542775,44.085478,31.000071
2016,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,39.264788,46.018104,32.511471
2017,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,39.859516,46.592415,33.126617
2018,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,1.00E+20,41.747466,48.685933,34.808999
 end_data,,,,,,,,,,,,,,,
